Natural Language Query,SQL Query,Schema,Top 5 Entries of Table,phi,lfm
Give total crimes occurred in Atlanta on each day of the week,"SELECT
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `atlanta_crime_data`
GROUP BY
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`atlanta_crime_data`.`Crime_Date`) ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100° W; 33.77476400° N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800° W; 33.81989200° N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600° W; 33.83793500° N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600° W; 33.80423000° N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700° W; 33.68756600° N"," To fulfill this request, you can use the following SQL query:

```sql
SELECT
  Day_Occurred,
  COUNT(*) AS Total_Crimes
FROM atlanta_crime_data
WHERE Area_Name = 'Atlanta'
GROUP BY Day_Occurred
ORDER BY FIELD(Day_Occurred, 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday')
```

This query will retrieve the total number of crimes that occurred in Atlanta for each day of the week. The `GROUP BY` clause will group the results by the day of the week, and the `COUNT(*)` function will count the number of occurrences for each group. The `ORDER BY` clause will sort the results in the order of the days of the week.","SELECT EXTRACT(DOW FROM Crime_Date) as Day_Of_Week, COUNT(*) as Total_Crimes_Occurred 
FROM atlanta_crime_data
WHERE Area_Name = 'Atlanta' 
GROUP BY EXTRACT(DOW FROM Crime_Date);"
Give total crimes occurred in Atlanta during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    atlanta_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100° W; 33.77476400° N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800° W; 33.81989200° N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600° W; 33.83793500° N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600° W; 33.80423000° N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700° W; 33.68756600° N"," To fulfill the given natural language request, we can use the following SQL query:

```sql
SELECT
  EXTRACT(MONTH FROM Crime_Date) AS Month,
  COUNT(Crime_ID) AS Total_Crimes
FROM
  atlanta_crime_data
WHERE
  Area_Name = 'Atlanta'
GROUP BY
  Month
ORDER BY
  Month;
```

This query extracts the month from the ```Crime_Date``` column, counts the total number of crimes that occurred within each month, filters only the entries where ```Area_Name``` is 'Atlanta', groups the results by month, and sorts them in ascending order based on the month. The output will show the total crimes occurred in Atlanta for each month of the year in the form of a table with two columns: 'Month' and 'Total_Crimes'.","SELECT EXTRACT(MONTH from Crime_Date) as Month, COUNT(*) as Total_Crimes 
FROM atlanta_crime_data 
WHERE Area_Name LIKE 'Atlanta' 
GROUP BY Month;"
Give total crimes occurred in Atlanta at each hour of the day,"SELECT
  CASE
    WHEN HOUR(STR_TO_DATE(`atlanta_crime_data`.`Crime_Time`, '%H:%i:%s')) = 0 THEN 24
    ELSE HOUR(STR_TO_DATE(`atlanta_crime_data`.`Crime_Time`, '%H:%i:%s'))
  END AS `Hour`,
  COUNT(*) AS `Count`
FROM
  `atlanta_crime_data`
GROUP BY
  `Hour`
ORDER BY
  `Hour` ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100° W; 33.77476400° N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800° W; 33.81989200° N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600° W; 33.83793500° N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600° W; 33.80423000° N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700° W; 33.68756600° N"," ```sql
SELECT 
    DATEPART(hour, Crime_Time) AS Crime_Hour,
    COUNT(*) AS Total_Crimes_Occurred
FROM 
    atlanta_crime_data
WHERE 
    Area_Name = 'Atlanta'
GROUP BY 
    DATEPART(hour, Crime_Time)
ORDER BY 
    Crime_Hour;
```

This SQL query returns the total number of crimes that occurred in Atlanta at each hour of the day. It groups the crimes by hours, and counts the occurrence for each hour in the `Crime_Hour` column. The `WHERE` condition ensures that only crimes in Atlanta are considered.","SELECT 
  Hour, 
  COUNT(*) AS Total_Crimes
FROM (
  SELECT 
    DATE_FORMAT(Crime_Date, '%W') AS Day,
    CAST(Crime_Time AS TIME) AS Hour,
    COUNT(*) AS Crime_Count
  FROM 
    atlanta_crime_data 
  WHERE 
    Area_Name = 'Atlanta'
  GROUP BY 
    Hour, 
    DATE_FORMAT(Crime_Date, '%W')
) AS crime_by_hour
GROUP BY 
  Hour"
Give total count of crimes in Atlanta grouped by week since January 2009,"SELECT
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  ) AS `Crime_Date`,
  count(distinct `atlanta_crime_data`.`Report_#`) AS `count`
FROM
  `atlanta_crime_data`
WHERE
  `atlanta_crime_data`.`Crime_Date` >= convert_tz(
    '2009-01-05 00:00:00.000',
    'America/New_York',
    @@session.time_zone
  )
GROUP BY
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(
      YEARWEEK(`atlanta_crime_data`.`Crime_Date`),
      ' Sunday'
    ),
    '%X%V %W'
  ) ASC","atlanta_crime_data (Crime_ID, Report_#, Day_Occurred, Crime_Date, Crime_Time, Crime_Type, Area_Name, Address, Longitude, Latitude)","2; 203,581,144; Wednesday; December 23, 2020;  17:16; LARCENY-FROM VEHICLE; Midtown; 736 W PEACHTREE ST NW; 84.38777100° W; 33.77476400° N
3; 203,581,174; Saturday; December 19, 2020; 21:50; LARCENY-FROM VEHICLE; Lindbergh/Morosgo; 2399 PIEDMONT RD NE; 84.36693800° W; 33.81989200° N
4; 203,581,238; Wednesday; December 23, 2020; 18:05; AUTO THEFT; Buckhead Village; 339 BUCKHEAD AVE NE; 84.37650600° W; 33.83793500° N
5; 203,581,247; Wednesday; December 23, 2020; 18:12; LARCENY-NON VEHICLE; Berkeley Park; 1801 HOWELL MILL RD NW; 84.41284600° W; 33.80423000° N
6; 203,581,253; Wednesday; December 23, 2020; 18:00; AGG ASSAULT; Browns Mill Park; 585 MCWILLIAMS RD SE; 84.36820700° W; 33.68756600° N"," Here is an SQL query that fulfills the request:

```sql
SELECT 
  YEARWEEK(Crime_Date, 3) /* Use MySQL mode 3 to start week on Monday */,
  COUNT(*)
FROM atlanta_crime_data
WHERE Crime_Date >= '2009-01-01'
GROUP BY YEARWEEK(Crime_Date, 3)
ORDER BY Crime_Date;
```

This will give you the total count of crimes in Atlanta grouped by week, starting from January 2009. The `YEARWEEK` function takes a date and a mode as input, and returns the year and week number. Using mode 3 tells MySQL to start counting weeks from the first Monday following the start of the year, which makes it compatible with our request to group by week.

Please modify this query according to your DBMS as not all DBMSes use the same week starting day. For example, SQLite uses Sunday as the first day of the week by default, so you don't need to pass any mode to it. For PostgreSQL, you can simply use the `date_trunc` function as they don't define the first day of the week as their behavior varies across different locales.

For PostgreSQL, this should do the trick:

```sql
SELECT 
  date_trunc('week', Crime_Date)::date,
  COUNT(*)
FROM atlanta_crime_data
WHERE Crime_Date >= '2009-01-01'
GROUP BY date_trunc('week', Crime_Date)::date
ORDER BY Crime_Date;
```

Remember to replace the date and/or table name in the queries if they don't match your schema.","SELECT DATE_TRUNC('week', Crime_Date) AS week, COUNT(*) AS total_crimes
FROM atlanta_crime_data
WHERE Crime_Date >= DATE '2009-01-01' AND Area_Name = 'Atlanta'
GROUP BY week;"
Give total crimes occurred in LA on each day of the week,"SELECT
  DAYOFWEEK(`la_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `la_crime_data`
GROUP BY
  DAYOFWEEK(`la_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`la_crime_data`.`Crime_Date`) ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000° N; 118.26280000° W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000° N; 118.30020000° W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000° N; 118.43870000° W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000° N; 118.32770000° W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000° N; 118.24630000° W"," Here is the SQL query to find the total crimes occurred in LA on each day of the week:

```sql
SELECT 
  DAYOFWEEK(Crime_Date) AS Day_Of_Week, 
  COUNT(*) AS Total_Crimes
FROM 
  la_crime_data
WHERE 
  Area_Name = 'Los Angeles'
GROUP BY 
  Day_Of_Week
ORDER BY 
  Day_Of_Week;
```

This query selects the day of the week from the 'Crime_Date' column using the `DAYOFWEEK()` function and counts the number of occurrences using `COUNT(*)`. This result is grouped by the day of the week and ordered by the day of the week. The `WHERE` clause is used to filter crimes that occurred in the Los Angeles area. Note that you may need to adjust the query depending on the specifics of your database setup and data types. The `DAYOFWEEK()` function returns an integer representing the day of the week, where Sunday = 1, Monday = 2, ..., Saturday = 7. You may want to use the `DAYNAME()` function instead if you prefer the day name instead of the day index.","SELECT DATE(Crime_Date) as Day_Of_Week, COUNT(*) as Total_Crimes 
FROM la_crime_data
WHERE Area_Name = 'LA'
GROUP BY DATE(Crime_Date);"
Give total crimes occurred in LA during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    la_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000° N; 118.26280000° W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000° N; 118.30020000° W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000° N; 118.43870000° W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000° N; 118.32770000° W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000° N; 118.24630000° W"," To fulfill this natural language request, you can write the following SQL query:

```sql
SELECT
    EXTRACT(MONTH FROM Crime_Date) AS Month,
    SUM(Crime_Count) AS Total_Crimes
FROM
    la_crime_data
WHERE
    Area_Name = 'LA' 
    AND Crime_Date >= '2020-01-01' 
    AND Crime_Date <= '2020-12-31'
GROUP BY
    Month
ORDER BY
    Month;
```

This query will extract the month from the Crime_Date column, sum up the total crimes for each month, filter the results for 'LA' and the year 2020, and group the results by month, ordering them by month.","SELECT 
    EXTRACT(MONTH FROM Crime_Date) as Month,
    COUNT(Crime_ID) as Total_Crimes
FROM 
    la_crime_data
WHERE 
    Area_Name = 'LA'
GROUP BY 
    Month
ORDER BY 
    Month ASC;"
Give total crimes occurred in LA at each hour of the day,"SELECT
  FLOOR(`la_crime_data`.`Crime_Time` / 100) + 1 AS `Hour`,
  COUNT(*) AS `Count`
FROM
  `la_crime_data`
GROUP BY
  `Hour`
ORDER BY
  `Hour` ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000° N; 118.26280000° W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000° N; 118.30020000° W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000° N; 118.43870000° W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000° N; 118.32770000° W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000° N; 118.24630000° W"," To fulfill the request, you can use the following SQL query. This query groups the LA crime data by the hour of the day (extracted from the Crime_Time field) and calculates the total number of crimes for each hour:

```sql
SELECT 
    EXTRACT(HOUR FROM Crime_Time::time) AS Crime_Hour,
    COUNT(*) AS Total_Crimes
FROM 
    la_crime_data
WHERE 
    Area_Name = 'LA'
GROUP BY
    Crime_Hour
ORDER BY
    Crime_Hour
```

This query extracts the hour from the Crime_Time timestamp and groups the results by that hour. It then counts the number of crime records for each hour and displays the hour and the corresponding number of crimes. The WHERE clause filters the data to only include crimes that occurred in LA.","SELECT 
    EXTRACT(HOUR FROM Crime_Date) AS Hour,
    COUNT(*) AS Crimes_Occurred
FROM 
    la_crime_data
WHERE 
    Area_Name = 'LA'
GROUP BY 
    Hour;"
Give total count of crimes in LA grouped by week,"SELECT
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  ) AS `Crime_Date`,
  count(distinct `la_crime_data`.`Report_#`) AS `count`
FROM
  `la_crime_data`
GROUP BY
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  )
ORDER BY
  STR_TO_DATE(
    CONCAT(YEARWEEK(`la_crime_data`.`Crime_Date`), ' Sunday'),
    '%X%V %W'
  ) ASC","la_crime_data (Crime_ID, Report_#, Date_Reported, Crime_Date, Crime_Time, Crime_Type, Area_Name, Vict_Age, Vict_Sex, Weapon_Desc, Address, Latitude, Longitude)","2; 200,106,753; September 2, 2020; August 2, 2020; 1,800; BURGLARY FROM VEHICLE; Central; 47; M; 1000 S FLOWER ST; 34.04440000° N; 118.26280000° W
3; 200,320,258; November 11, 2020; April 11, 2020; 1,700; BIKE - STOLEN; Southwest; 19; X; 1400 W 37TH ST; 34.02100000° N; 118.30020000° W
4; 200,907,217; October 5, 2023; October 3, 2020; 2,037; SHOPLIFTING-GRAND THEFT ($950.01 & OVER); Van Nuys; 19; M; 14000 RIVERSIDE DR; 34.15760000° N; 118.43870000° W
5; 220,614,831; August 18, 2022; August 17, 2020; 1,200; THEFT OF IDENTITY; Hollywood; 28; M; 1900 TRANSIENT; 34.09440000° N; 118.32770000° W
6; 231,808,869; April 4, 2023; January 12, 2020; 2,300; THEFT OF IDENTITY; Southeast; 41; M; 9900 COMPTON AV; 33.94670000° N; 118.24630000° W"," To count the total number of crimes in LA grouped by week, you can use the `DATE_TRUNC` function to group by the week of the `Crime_Date` column, and use the `COUNT` function to count the number of crimes. The required SQL query would look like this:

```sql
SELECT DATE_TRUNC('week', Crime_Date) AS Crime_Week, COUNT(*) AS Crime_Count
FROM la_crime_data
WHERE Area_Name = 'Los Angeles'
GROUP BY Crime_Week
ORDER BY Crime_Week;
```

In this query, `DATE_TRUNC('week', Crime_Date)` is used to extract the week's start date from each `Crime_Date` value, and the `COUNT(*)` function is used to count the number of rows (i.e., crimes) in each week. The `WHERE` clause is used to filter the rows by the city name ('Los Angeles'), and the `GROUP BY` clause groups the results by the calculated `Crime_Week`. Finally, the `ORDER BY` clause sorts the results by the `Crime_Week` values in ascending order.","SELECT WEEK(Crime_Date) as Week, COUNT(Crime_ID) as Total_Crimes 
FROM la_crime_data
WHERE City = 'LA' 
GROUP BY WEEK(Crime_Date);"
Give total crimes occurred in New York on each day of the week,"SELECT
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`) AS `Crime_Date`,
  COUNT(*) AS `count`
FROM
  `nyc_crime_data`
GROUP BY
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`)
ORDER BY
  DAYOFWEEK(`nyc_crime_data`.`Crime_Date`) ASC","nyc_crime_data (Crime_ID, Report_#, Crime_Date, Crime_Time, Crime_Class, Crime_Type, Area_Name, Latitude, Longitude)","2; 262102261; January 18, 2023; 2:00 PM; FELONY; FORGERY; BRONX; 40.83585867° N; 73.87212505° W
3; 267972239; July 5, 2023; 12:15 AM; FELONY; FELONY ASSAULT; BRONX; 40.83150000° N; 73.86340000° W
4; 263141402H1; June 2, 2023; 10:16 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
5; 269307857H1; April 6, 2023; 12:20 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
6; 277525074H3; November 14, 2023; 7:05 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; QUEENS; ; "," Here's an SQL query to get the total crimes occurred in New York on each day of the week:

```sql
SELECT
    CASE 
        WHEN DAYOFWEEK(Crime_Date) = 1 THEN 'Sunday'
        WHEN DAYOFWEEK(Crime_Date) = 2 THEN 'Monday'
        WHEN DAYOFWEEK(Crime_Date) = 3 THEN 'Tuesday'
        WHEN DAYOFWEEK(Crime_Date) = 4 THEN 'Wednesday'
        WHEN DAYOFWEEK(Crime_Date) = 5 THEN 'Thursday'
        WHEN DAYOFWEEK(Crime_Date) = 6 THEN 'Friday'
        WHEN DAYOFWEEK(Crime_Date) = 7 THEN 'Saturday'
    END AS Day_Of_Week,
    COUNT(*) AS Total_Crimes
FROM nyc_crime_data
WHERE Area_Name = 'BRONX' OR Area_Name = 'BROOKLYN' OR Area_Name = 'QUEENS'
GROUP BY Day_Of_Week
ORDER BY Day_Of_Week;
```

This query uses the `CASE` statement to convert the day of the week (using `DAYOFWEEK` function) to a more readable format (e.g., Sunday, Monday, etc.). The `WHERE` clause filters the records to include only crimes in NYC (The Bronx, Brooklyn, and Queens). The final results are grouped by day of the week and listed in ascending order (starting with Sunday).","SELECT DISTINCT DATE_TRUNC('day', Crime_Date) as crime_date,
       COUNT(Crime_ID) as total_crimes
FROM nyc_crime_data
WHERE City = 'New York'
GROUP BY DATE_TRUNC('day', Crime_Date)
ORDER BY crime_date ASC"
Give total crimes occurred in New York during each month of the year,"SELECT
    MONTH(Crime_Date) AS Month,
    COUNT(*) AS Crime_Count
FROM
    nyc_crime_data
GROUP BY
    MONTH(Crime_Date)
ORDER BY
    MONTH(Crime_Date);","nyc_crime_data (Crime_ID, Report_#, Crime_Date, Crime_Time, Crime_Class, Crime_Type, Area_Name, Latitude, Longitude)","2; 262102261; January 18, 2023; 2:00 PM; FELONY; FORGERY; BRONX; 40.83585867° N; 73.87212505° W
3; 267972239; July 5, 2023; 12:15 AM; FELONY; FELONY ASSAULT; BRONX; 40.83150000° N; 73.86340000° W
4; 263141402H1; June 2, 2023; 10:16 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
5; 269307857H1; April 6, 2023; 12:20 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; BROOKLYN; ; 
6; 277525074H3; November 14, 2023; 7:05 AM; FELONY; MURDER & NON-NEGL. MANSLAUGHTER; QUEENS; ; "," To get the total crimes occurred in New York during each month of the year, we can group the data by month and count the number of rows in each group. Here's the SQL query:

```sql
SELECT
  EXTRACT(MONTH FROM Crime_Date) AS Month,
  COUNT(*) AS Total_Crimes
FROM nyc_crime_data
WHERE Area_Name LIKE '%New York%'
GROUP BY Month
ORDER BY Month;
```

This SQL query uses the `EXTRACT` function to extract the month number from the `Crime_Date` column. The `WHERE` clause filters the data to only include rows where the `Area_Name` contains the string ""New York"". The `GROUP BY` clause groups the data by month, and the `COUNT(*)` function counts the number of rows in each group. The `ORDER BY` clause sorts the results by month in ascending order. By running this query, we should get the total crimes that occurred in New York during each month of the year.","SELECT 
    DATE_TRUNC('month', Crime_Date) AS Month, 
    COUNT(*) AS Total_Crimes
FROM 
    nyc_crime_data
WHERE 
    Area_Name = 'New York'
GROUP BY 
    1
ORDER BY 
    1;"
